,FIPS,county,commodity,nitrogen_content_diet,animal_nitrogen_content,feed_conversion_ratio,animal_nitrogen_uptake,inventory_head,is_chesapeake,feed_nitrogen_total,proportion_AU,animalN-feedN_ratio,feed_nitrogen_calc,domestic_animal_nitrogen,export_animal_nitrogen,import_animal_nitrogen,selfloop_animal_nitrogen,animal_nitrogen,crop_diet_percentage_corn,crop_diet_percentage_wheat,crop_diet_percentage_soybean,crop_diet_percentage_alfalfa,crop_diet_percentage_cornsilage,crop_diet_percentage_otherhay,nitrogen_content_diet_weight_corn,nitrogen_content_diet_weight_wheat,nitrogen_content_diet_weight_soybean,nitrogen_content_diet_weight_alfalfa,nitrogen_content_diet_weight_cornsilage,nitrogen_content_diet_weight_otherhay,animal_slaughtering_rate,animal_carcass_milked_laid_nitrogen,nitrogen_recycling_rate3,nitrogen_recycling3,nitrogen_loss4,animal_product_processing_rate,domestic_animal_product_nitrogen,nitrogen_recycling_rate4,nitrogen_recycling4,nitrogen_loss5,export_meat_nitrogen,import_meat_nitrogen,selfloop_meat_nitrogen,animal_product_nitrogen,animal_product_consumption_rate,animal_product_nitrogen_consumption,nitrogen_loss6,nitrogen_loss7,feed_nitrogen_recycled_slaughtering_waste,feed_nitrogen_recycled_meat_waste,total_feed_nitrogen,manure_feed_nitrogen_waste,nitrogen_recycling_rate2,nitrogen_recycling2,nitrogen_loss3,proportion_manure_feed_nitrogen_waste,excess_recycled_nitrogen_manure_total,excess_recycled_nitrogen_manure,category
0,10001,KENT,broiler,2.36,2.3,1.93,0.5049617985421972,13572711.0,True,11644684.650509153,0.9497102281477648,0.5111567156430885,11059076.116143823,5652921.025575,5601183.882837971,52591.045786200404,51737.14273702828,104328.18852322869,0.2033898305084746,0.3898305084745763,0.4067796610169492,0.0,0.0,0.0,2249303.6168428115,4311165.265615389,4498607.233685623,0.0,0.0,0.0,0.75,78246.14139242152,0.9,23473.842417726457,2608.204713080715,0.9,70421.52725317936,0.9,7042.15272531794,782.4614139242158,15606.968692325268,436118.227429036,54814.55856085409,490932.7859898901,0.84,412383.5402315077,78549.24575838243,412383.5402315077,23473.842417726457,7042.15272531794,11089592.111286867,5436671.085711868,0.35,1902834.8799991535,3533836.205712714,0.9210470555675568,0.0,0.0,7
1,10001,KENT,cow_beef,1.6569999999999998,2.0,6.6,0.18287887931822758,843.0,True,11644684.650509153,0.0035110968265335,0.133551638297127,40885.615322386046,5460.340909090774,5410.366314411605,5769.29966482496,49.97459467916924,5819.274259504129,0.28968014484007243,0.0,0.28968014484007243,0.0,0.022329511164755584,0.39831019915509963,11843.750968464274,0.0,11843.750968464274,0.0,912.9558038191212,16285.15758163838,0.75,4364.455694628097,0.9,1309.3367083884286,145.48185648760318,0.9,3928.0101251652877,0.9,392.8010125165286,43.64455694628094,2850.4200545719095,27511.91731466755,1077.590070593378,28589.507385260928,0.84,24015.186203619178,4574.32118164175,24015.186203619178,1309.3367083884286,392.8010125165286,42587.753043291006,37127.41213420023,0.35,12994.59424697008,24132.81788723015,0.006289895615888768,0.0,0.0,7
2,10001,KENT,cow_milk,1.7839999999999998,0.5,1.0,0.28026905829596416,2173.0,True,11644684.650509153,0.0377226911839995,0.248328741354543,439268.8430062159,109083.07889999993,108084.71950355502,4102.585373239104,998.3593964449132,5100.944769684017,0.06726457399103139,0.0,0.26905829596412556,0.5807174887892376,0.08295964125560538,0.0,29547.231592346358,0.0,118188.92636938543,255091.0994139235,36441.58563056051,0.0,0.98,4998.925874290337,0.9,91.81700585431236,10.20188953936804,0.98,4898.94735680453,0.9,89.98066573722636,9.9978517485807,4898.94735680453,74046.92192744059,0.0,74046.92192744059,0.68,50351.90691065961,23695.015016780984,50351.90691065961,91.81700585431236,89.98066573722636,439450.64067780745,330367.56177780754,0.35,115628.64662223263,214738.9151555749,0.05596882085255672,0.0,0.0,7
3,10001,KENT,layer,2.64,1.78,1.82,0.37046287046287046,3140.0,True,11644684.650509153,0.0002615621360691,0.2813434373654039,3045.808591038235,856.9182585597748,849.0754986739576,6583.711706469931,7.842759885817298,6591.554466355748,0.2727272727272727,0.0,0.7272727272727273,0.0,0.0,0.0,830.6750702831549,0.0,2215.13352075508,0.0,0.0,0.0,0.95,6261.976743037961,0.9,296.61995098600903,32.957772331778756,0.84,5260.060464151887,0.9,901.7246509974666,100.1916278886074,5260.060464151887,25098.756524162058,0.0,25098.756524162058,0.98,24596.781393678815,501.97513048324254,24596.781393678815,296.61995098600903,901.7246509974666,4244.153193021711,3387.234934461936,0.35,1185.5322270616775,2201.7027074002585,0.0005738443090848177,0.0,0.0,7
4,10001,KENT,pig,2.36,2.0,3.2,0.2648305084745763,2324.4217450842925,True,11644684.650509153,0.0087944217056329,0.0738454629449855,102408.26744568795,7562.385918920713,7493.172809813126,983.8574110637395,69.21310910758677,1053.0705201713263,0.2033898305084746,0.3898305084745763,0.4067796610169492,0.0,0.0,0.0,20828.800158445007,39921.86697035293,41657.60031689001,0.0,0.0,0.0,0.75,789.8028901284947,0.9,236.94086703854842,26.32676300428315,0.9,710.8226011156453,0.9,71.08226011156448,7.898028901284945,614.8096049894473,563722.5320020326,96.01299612619796,563818.5449981588,0.84,473607.5777984534,90210.96719970542,473607.5777984534,236.94086703854842,71.08226011156448,102716.29057283806,95153.90465391734,0.35,33303.86662887107,61850.03802504628,0.0161203836549128,0.0,0.0,7
5,10003,NEW CASTLE,broiler,2.36,2.3,1.93,0.5049617985421972,206336.0,True,363785.7045108576,0.4093428236073514,0.5770965973098645,148913.06747246403,85937.22453333325,,34763.208226331844,85937.22453333325,120700.4327596651,0.2033898305084746,0.3898305084745763,0.4067796610169492,0.0,0.0,0.0,30287.4035537215,58050.85681129954,60574.807107443,0.0,0.0,0.0,0.75,90525.32456974883,0.9,27157.597370924643,3017.5108189916245,0.9,81472.79211277395,0.9,8147.27921127739,905.2532456974877,,78201.19653517874,81472.79211277395,159673.98864795268,0.84,134126.15046428025,25547.83818367243,134126.15046428025,27157.597370924643,8147.27921127739,184217.94405466603,98280.71952133278,0.35,34398.25183246647,63882.46768886631,0.3470054644607197,0.0,0.0,4
6,10003,NEW CASTLE,cow_beef,1.6569999999999998,2.0,6.6,0.18287887931822758,525.0,True,363785.7045108576,0.0619957895749153,0.150779973475385,22553.181987217442,3400.5681818181765,,6412.359933470303,3400.5681818181765,9812.92811528848,0.28968014484007243,0.0,0.28968014484007243,0.0,0.022329511164755584,0.39831019915509963,6533.209024661661,0.0,6533.209024661661,0.0,503.6015289843364,8983.162408909784,0.75,7359.69608646636,0.9,2207.908825939908,245.32320288221172,0.9,6623.726477819724,0.9,662.3726477819721,73.59696086466352,,7619.274550479511,6623.726477819724,14243.001028299235,0.84,11964.120863771357,2278.880164527878,11964.120863771357,2207.908825939908,662.3726477819721,25423.46346093932,22022.895279121145,0.35,7708.0133476924,14314.881931428745,0.07775751991154727,0.0,0.0,4
7,10003,NEW CASTLE,cow_milk,1.7839999999999998,0.5,1.0,0.28026905829596416,515.0,True,363785.7045108576,0.2534765756920901,0.2803634722272008,92211.1546651467,25852.63949999998,,147817.3573560864,25852.63949999998,173669.9968560864,0.06726457399103139,0.0,0.26905829596412556,0.5807174887892376,0.08295964125560538,0.0,6202.5440357722,0.0,24810.1761430888,53548.63017549999,7649.804310785714,0.0,0.98,170196.59691896467,0.9,3126.0599434095493,347.33999371217215,0.98,166792.66498058537,0.9,3063.538744541374,340.39319383793054,65910.1896302205,282203.85920491564,100882.47535036488,383086.3345552805,0.68,260498.70749759077,122587.62705768974,260498.70749759077,3126.0599434095493,3063.538744541374,98400.75335309764,72548.11385309766,0.35,25391.83984858418,47156.274004513485,0.25614985386710504,0.0,0.0,4
8,10003,NEW CASTLE,layer,2.64,1.78,1.82,0.37046287046287046,109931.71097935812,True,363785.7045108576,0.2596305989137789,0.3176371069971503,94449.90033842494,30000.793099666465,,67714.67676221688,30000.793099666465,97715.46986188335,0.2727272727272727,0.0,0.7272727272727273,0.0,0.0,0.0,25759.063728661346,0.0,68690.83660976359,0.0,0.0,0.0,0.95,92829.69636878918,0.9,4397.196143784749,488.5773493094166,0.84,77976.9449497829,0.9,13367.476277105652,1485.2751419006272,35676.86780474432,69803.3846486875,42300.07714503858,112103.46179372608,0.98,109861.39255785155,2242.069235874529,109861.39255785155,4397.196143784749,13367.476277105652,112214.57275931534,82213.77965964888,0.35,28774.822880877105,53438.95677877177,0.29027698346953307,0.0,0.0,4
9,10003,NEW CASTLE,pig,2.36,2.0,3.2,0.2648305084745763,145.0,True,363785.7045108576,0.0155542122118641,0.083371623786078,5658.400047604367,471.7499999999971,,9692.765349846237,471.7499999999971,10164.515349846233,0.2033898305084746,0.3898305084745763,0.4067796610169492,0.0,0.0,0.0,1150.8610266313967,2205.816967710177,2301.7220532627935,0.0,0.0,0.0,0.75,7623.386512384675,0.9,2287.0159537154022,254.1128837461556,0.9,6861.047861146208,0.9,686.104786114621,76.23386512384673,,137309.26811274886,6861.047861146208,144170.31597389508,0.84,121103.06541807186,23067.250555823222,121103.06541807186,2287.0159537154022,686.104786114621,8631.52078743439,8159.770787434393,0.35,2855.9197756020376,5303.851011832356,0.028810178291094862,0.0,0.0,4
