,FIPS,county,commodity,nitrogen_content_diet,animal_nitrogen_content,feed_conversion_ratio,animal_nitrogen_uptake,inventory_head,feed_nitrogen_total,proportion_AU,animalN-feedN_ratio,is_chesapeake,feed_nitrogen_calc,domestic_animal_nitrogen,export_animal_nitrogen,import_animal_nitrogen,selfloop_animal_nitrogen,animal_nitrogen,crop_diet_percentage_corn,crop_diet_percentage_wheat,crop_diet_percentage_soybean,crop_diet_percentage_alfalfa,crop_diet_percentage_cornsilage,crop_diet_percentage_otherhay,nitrogen_content_diet_weight_corn,nitrogen_content_diet_weight_wheat,nitrogen_content_diet_weight_soybean,nitrogen_content_diet_weight_alfalfa,nitrogen_content_diet_weight_cornsilage,nitrogen_content_diet_weight_otherhay,animal_slaughtering_rate,animal_carcass_milked_laid_nitrogen,nitrogen_recycling_rate3,nitrogen_recycling3,nitrogen_loss4,animal_product_processing_rate,domestic_animal_product_nitrogen,nitrogen_recycling_rate4,nitrogen_recycling4,nitrogen_loss5,export_meat_nitrogen,import_meat_nitrogen,selfloop_meat_nitrogen,animal_product_nitrogen,animal_product_consumption_rate,animal_product_nitrogen_consumption,nitrogen_loss6,nitrogen_loss7,feed_nitrogen_recycled_slaughtering_waste,feed_nitrogen_recycled_meat_waste,total_feed_nitrogen,manure_feed_nitrogen_waste,nitrogen_recycling_rate2,nitrogen_recycling2,nitrogen_loss3,proportion_manure_feed_nitrogen_waste,excess_recycled_nitrogen_manure_total,excess_recycled_nitrogen_manure,category
0,10001,KENT,broiler,2.36,2.3,1.93,0.5049617985421972,13572711.0,13565024.937898217,0.9497102281477648,0.5137106708727417,True,12882842.928601434,6618053.883599999,6557483.5701517705,61570.00482286876,60570.31344822823,122140.318271097,0.2033898305084746,0.3898305084745763,0.4067796610169492,0.0,0.0,0.0,2620239.2397155464,5022125.209454796,5240478.479431093,0.0,0.0,0.0,0.75,91605.23870332274,0.9,27481.57161099683,3053.5079567774264,0.9,82444.71483299047,0.9,8244.471483299041,916.0523870332272,18271.57310321007,509806.5035006933,64173.1417297804,573979.6452304737,0.84,482142.9019935979,91836.7432368758,482142.9019935979,27481.57161099683,8244.471483299041,12918568.97169573,6300515.088095731,0.35,2205180.2808335056,4095334.8072622255,0.9183237166592346,0.0,0.0,7
1,10001,KENT,cow_beef,1.6569999999999998,2.0,6.6,0.18287887931822758,843.0,13565024.937898217,0.0035110968265335,0.1157917797309677,True,47628.11601130222,5514.944318181682,5464.469977555722,5826.992661473206,50.47434062596094,5877.467002099167,0.28968014484007243,0.0,0.28968014484007243,0.0,0.022329511164755584,0.39831019915509963,13796.9195446138,0.0,13796.9195446138,0.0,1063.512548230647,18970.764373843977,0.75,4408.100251574375,0.9,1322.430075472313,146.93667505247913,0.9,3967.2902264169375,0.9,396.7290226416937,44.081002515743705,2878.924255117626,27787.036487814235,1088.365971299311,28875.402459113546,0.84,24255.338065655378,4620.064393458168,24255.338065655378,1322.430075472313,396.7290226416937,49347.27510941623,43832.33079123455,0.35,15341.315776932091,28491.01501430246,0.006388726692853517,0.0,0.0,7
2,10001,KENT,cow_milk,1.7839999999999998,0.5,1.0,0.28026905829596416,2173.0,13565024.937898217,0.0377226911839995,0.2152638858379768,True,511709.24663558643,110152.52084999999,109144.37361633503,4142.806798466938,1008.1472336649617,5150.9540321319,0.06726457399103139,0.0,0.26905829596412556,0.5807174887892376,0.08295964125560538,0.0,34419.90448221433,0.0,137679.61792885733,297158.5086964504,42451.21552806435,0.0,0.98,5047.934951489262,0.9,92.71717257837427,10.301908064263799,0.98,4946.976252459476,0.9,90.86282912680717,10.095869902978578,4946.976252459475,74772.87214241551,0.0,74772.87214241551,0.68,50845.55305684255,23927.319085572955,50845.55305684255,92.71717257837427,90.86282912680717,511892.82663729164,401740.30578729167,0.35,140609.10702555208,261131.1987617396,0.05855515709175262,0.0,0.0,7
3,10001,KENT,layer,2.64,1.78,1.82,0.37046287046287046,3140.0,13565024.937898217,0.0002615621360691,0.2724783458266557,True,3548.0968985872682,966.7795737597462,957.9313318372856,7427.777309863512,8.848241922460543,7436.625551785972,0.2727272727272727,0.0,0.7272727272727273,0.0,0.0,0.0,967.6627905238004,0.0,2580.434108063468,0.0,0.0,0.0,0.95,7064.794274196673,0.9,334.6481498303692,37.18312775892991,0.84,5934.427190325205,0.9,1017.3303754843212,113.03670838714675,5934.427190325205,28316.545822131553,0.0,28316.545822131553,0.98,27750.21490568892,566.3309164426319,27750.21490568892,334.6481498303692,1017.3303754843212,4900.075423901959,3933.2958501422127,0.35,1376.6535475497744,2556.642302592438,0.0005732926297799954,0.0,0.0,7
4,10001,KENT,pig,2.36,2.0,3.2,0.2648305084745763,2324.4217450842925,13565024.937898217,0.0087944217056329,0.0736711898957626,True,119296.54975130365,8788.718770637583,8708.281914107143,1143.4018561011023,80.43685653043866,1223.838712631541,0.2033898305084746,0.3898305084745763,0.4067796610169492,0.0,0.0,0.0,24263.705034163457,46505.43464881329,48527.41006832691,0.0,0.0,0.0,0.75,917.8790344736558,0.9,275.36371034209674,30.595967815788526,0.9,826.0911310262902,0.9,82.60911310262902,9.178790344736555,714.5084598526007,655136.9966510105,111.58267117368949,655248.5793221842,0.84,550408.8066306347,104839.7726915495,550408.8066306347,275.36371034209674,82.60911310262902,119654.52257474838,110865.8038041108,0.35,38803.031331438775,72062.77247267202,0.016159106926379226,0.0,0.0,7
5,10001,,year,,,,,2017.0,13565024.937898217,,,True,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0
6,10003,NEW CASTLE,broiler,2.36,2.3,1.93,0.5049617985421972,206336.0,404603.22471453645,0.4093428236073514,0.6074662908016653,True,165621.42644528806,100609.43359999997,,40698.26975227689,100609.43359999997,141307.70335227688,0.2033898305084746,0.3898305084745763,0.4067796610169492,0.0,0.0,0.0,33685.71385327893,64564.28488545128,67371.42770655786,0.0,0.0,0.0,0.75,105980.77751420766,0.9,31794.233254262297,3532.692583806922,0.9,95382.6997627869,0.9,9538.269976278683,1059.8077751420751,,91383.87530962953,95382.6997627869,186766.57507241642,0.84,156883.92306082978,29882.652011586644,156883.92306082978,31794.233254262297,9538.269976278683,206953.92967582904,106344.49607582907,0.35,37220.57362654017,69123.92244928889,0.3386368000376728,0.0,0.0,4
7,10003,NEW CASTLE,cow_beef,1.6569999999999998,2.0,6.6,0.18287887931822758,525.0,404603.22471453645,0.0619957895749153,0.1369245509714537,True,25083.69638073457,3434.5738636363594,,6476.483532805007,3434.5738636363594,9911.057396441367,0.28968014484007243,0.0,0.28968014484007243,0.0,0.022329511164755584,0.39831019915509963,7266.248800695591,0.0,7266.248800695591,0.0,560.1066783869518,9991.092100956439,0.75,7433.293047331025,0.9,2229.987914199308,247.7764349110339,0.9,6689.963742597923,0.9,668.9963742597923,74.33293047331028,,7695.467295984304,6689.963742597923,14385.431038582226,0.84,12083.76207240907,2301.668966173156,12083.76207240907,2229.987914199308,668.9963742597923,27982.680669193673,24548.106805557312,0.35,8591.837381945059,15956.269423612253,0.07816946473364667,0.0,0.0,4
8,10003,NEW CASTLE,cow_milk,1.7839999999999998,0.5,1.0,0.28026905829596416,515.0,404603.22471453645,0.2534765756920901,0.2545509791560133,True,102557.43991461793,26106.09675,,149266.54713408725,26106.09675,175372.64388408724,0.06726457399103139,0.0,0.26905829596412556,0.5807174887892376,0.08295964125560538,0.0,6898.482505467574,0.0,27593.930021870296,59556.898963870044,8508.128423410008,0.0,0.98,171865.19100640548,0.9,3156.707589913585,350.7452877681758,0.98,168427.88718627737,0.9,3093.5734381153047,343.73038201281133,66556.36795992854,284970.5637069246,101871.51922634884,386842.08293327346,0.68,263052.616394626,123789.46653864748,263052.616394626,3156.707589913585,3093.5734381153047,108807.72094264682,82701.62419264682,0.35,28945.568467426387,53756.05572522043,0.26334990909681427,0.0,0.0,4
9,10003,NEW CASTLE,layer,2.64,1.78,1.82,0.37046287046287046,109931.71097935812,404603.22471453645,0.2596305989137789,0.322207459272528,True,105047.37755508136,33847.048625264746,,76396.04557788573,33847.048625264746,110243.09420315048,0.2727272727272727,0.0,0.7272727272727273,0.0,0.0,0.0,28649.28478774946,0.0,76398.0927673319,0.0,0.0,0.0,0.95,104730.93949299295,0.9,4960.939239141774,551.2154710157529,0.84,87973.98917411407,0.9,15081.255286990992,1675.695031887888,40250.82521560899,78752.53652672435,47723.16395850508,126475.70048522943,0.98,123946.18647552484,2529.514009704595,123946.18647552484,4960.939239141774,15081.255286990992,125089.57208121414,91242.52345594938,0.35,31934.883209582284,59307.6402463671,0.29054701757628426,0.0,0.0,4
