,FIPS,county,commodity,nitrogen_content_diet,is_chesapeake,animal_nitrogen_content,feed_conversion_ratio,animal_nitrogen_uptake,inventory_head,feed_nitrogen_total,proportion_AU,animalN-feedN_ratio,feed_nitrogen_calc,domestic_animal_nitrogen,export_animal_nitrogen,import_animal_nitrogen,selfloop_animal_nitrogen,animal_nitrogen,crop_diet_percentage_corn,crop_diet_percentage_wheat,crop_diet_percentage_soybean,crop_diet_percentage_alfalfa,crop_diet_percentage_cornsilage,crop_diet_percentage_otherhay,nitrogen_content_diet_weight_corn,nitrogen_content_diet_weight_wheat,nitrogen_content_diet_weight_soybean,nitrogen_content_diet_weight_alfalfa,nitrogen_content_diet_weight_cornsilage,nitrogen_content_diet_weight_otherhay,animal_slaughtering_rate,animal_carcass_milked_laid_nitrogen,nitrogen_recycling_rate3,nitrogen_recycling3,nitrogen_loss4,animal_product_processing_rate,domestic_animal_product_nitrogen,nitrogen_recycling_rate4,nitrogen_recycling4,nitrogen_loss5,export_meat_nitrogen,import_meat_nitrogen,selfloop_meat_nitrogen,animal_product_nitrogen,animal_product_consumption_rate,animal_product_nitrogen_consumption,nitrogen_loss6,nitrogen_loss7,feed_nitrogen_recycled_slaughtering_waste,feed_nitrogen_recycled_meat_waste,total_feed_nitrogen,manure_feed_nitrogen_waste,nitrogen_recycling_rate2,nitrogen_recycling2,nitrogen_loss3,proportion_manure_feed_nitrogen_waste,excess_recycled_nitrogen_manure_total,excess_recycled_nitrogen_manure,category
0,10001,KENT,broiler,2.36,True,2.3,1.93,0.5049617985421972,13572711.0,9540559.979534784,0.9497102281477648,0.5072275395930285,9060767.394821415,4595870.7525,4553808.034827619,42756.94779365887,42062.71767238073,84819.66546603959,0.2033898305084746,0.3898305084745763,0.4067796610169492,0.0,0.0,0.0,1842867.9447094405,3532163.560693094,3685735.889418881,0.0,0.0,0.0,0.75,63614.74909952969,0.9,19084.424729858907,2120.4916366509897,0.9,57253.274189576725,0.9,5725.327418957669,636.1474909952967,12688.592432784773,360381.9052921627,44564.68175679195,404946.5870489546,0.84,340155.13312112185,64791.45392783277,340155.13312112185,19084.424729858907,5725.327418957669,9085577.146970231,4489706.394470231,0.35,1571397.2380645806,2918309.15640565,0.9251916575891989,0.0,0.0,7
1,10001,KENT,cow_beef,1.6569999999999998,True,2.0,6.6,0.18287887931822758,843.0,9540559.979534784,0.0035110968265335,0.163005810546221,33497.829867497094,5460.340909090775,5410.366314411606,5769.299664824959,49.97459467916926,5819.274259504128,0.28968014484007243,0.0,0.28968014484007243,0.0,0.022329511164755584,0.39831019915509963,9703.656207844662,0.0,9703.656207844662,0.0,747.9901660213594,13342.527285786413,0.75,4364.455694628096,0.9,1309.3367083884286,145.48185648760318,0.9,3928.010125165287,0.9,392.8010125165286,43.64455694628094,2850.4200545719086,27511.917314667553,1077.5900705933777,28589.50738526093,0.84,24015.18620361918,4574.32118164175,24015.18620361918,1309.3367083884286,392.8010125165286,35199.967588402054,29739.62667931128,0.35,10408.869337758948,19330.757341552333,0.006128430700369355,0.0,0.0,7
2,10001,KENT,cow_milk,1.7839999999999998,True,0.5,1.0,0.28026905829596416,2173.0,9540559.979534784,0.0377226911839995,0.2971533846057008,359895.59783041524,106944.19499999999,105965.41127799517,4022.1425227834366,978.7837220048173,5000.926244788254,0.06726457399103139,0.0,0.26905829596412556,0.5807174887892376,0.08295964125560538,0.0,24208.224069310443,0.0,96832.89627724177,208997.6677983801,29856.80968548288,0.0,0.98,4900.907719892489,0.9,90.01667240618853,10.001852489576507,0.98,4802.889565494639,0.9,88.21633895806472,9.80181543978496,4802.88956549464,72595.02149749077,0.0,72595.02149749077,0.68,49364.61461829373,23230.406879197042,49364.61461829373,90.01667240618853,88.21633895806472,360073.8308417795,253129.63584177947,0.35,88595.3725446228,164534.26329715666,0.05216230345437549,0.0,0.0,7
3,10001,KENT,layer,2.64,True,1.78,1.82,0.37046287046287046,3140.0,9540559.979534784,0.0002615621360691,0.2934977614636251,2495.4492475424872,732.4087679998077,725.705554422186,5627.104022623876,6.703213577621623,5633.807236201497,0.2727272727272727,0.0,0.7272727272727273,0.0,0.0,0.0,680.5770675115874,0.0,1814.8721800309,0.0,0.0,0.0,0.95,5352.116874391422,0.9,253.52132562906755,28.1690361810075,0.84,4495.778174488794,0.9,770.7048299123652,85.63386999026272,4495.778174488794,21451.928653129966,0.0,21451.928653129966,0.98,21022.890080067365,429.03857306260034,21022.890080067365,253.52132562906755,770.7048299123652,3519.67540308392,2787.2666350841127,0.35,975.5433222794394,1811.7233128046732,0.0005743707074994205,0.0,0.0,7
4,10001,KENT,pig,2.36,True,2.0,3.2,0.2648305084745763,2324.4217450842925,9540559.979534784,0.0087944217056329,0.0811997522941577,83903.70776791328,6812.960287315953,6750.606134966775,886.3580279853504,62.354152349177234,948.7121803345276,0.2033898305084746,0.3898305084745763,0.4067796610169492,0.0,0.0,0.0,17065.160901948464,32708.22506206789,34130.32180389693,0.0,0.0,0.0,0.75,711.5341352508957,0.9,213.46024057526873,23.717804508363173,0.9,640.3807217258061,0.9,64.03807217258064,7.115341352508963,553.8825270175197,507858.13693876803,86.49819470828639,507944.63513347635,0.84,426673.4935121201,81271.14162135625,426673.4935121201,213.46024057526873,64.03807217258064,84181.20608066113,77368.24579334518,0.35,27078.88602767081,50289.359765674366,0.015943237548556855,0.0,0.0,7
5,10003,NEW CASTLE,broiler,2.36,True,2.3,1.93,0.5049617985421972,206336.0,318210.57958963583,0.4093428236073514,0.5363822730931939,130257.21715095337,69867.66222222212,,28263.114580235517,69867.66222222212,98130.77680245764,0.2033898305084746,0.3898305084745763,0.4067796610169492,0.0,0.0,0.0,26492.993318837973,50778.23719443945,52985.986637675946,0.0,0.0,0.0,0.75,73598.08260184323,0.9,22079.42478055297,2453.2694200614387,0.9,66238.27434165891,0.9,6623.827434165888,735.9808260184318,,64347.24209181789,66238.27434165891,130585.51643347679,0.84,109691.8338041205,20893.68262935629,109691.8338041205,22079.42478055297,6623.827434165888,158960.46936567224,89092.80714345012,0.35,31182.482500207538,57910.32464324258,0.3577540822847137,0.0,0.0,4
6,10003,NEW CASTLE,cow_beef,1.6569999999999998,True,2.0,6.6,0.18287887931822758,525.0,318210.57958963583,0.0619957895749153,0.1723751578203588,19727.7161327509,3400.5681818181747,,6412.359933470303,3400.5681818181747,9812.928115288478,0.28968014484007243,0.0,0.28968014484007243,0.0,0.022329511164755584,0.39831019915509963,5714.727666699114,0.0,5714.727666699114,0.0,440.51025764139,7857.7505417112825,0.75,7359.696086466358,0.9,2207.908825939908,245.32320288221172,0.9,6623.726477819722,0.9,662.3726477819721,73.59696086466352,,7619.27455047951,6623.726477819722,14243.001028299233,0.84,11964.120863771355,2278.880164527878,11964.120863771355,2207.908825939908,662.3726477819721,22597.997606472778,19197.429424654605,0.35,6719.100298629111,12478.329126025494,0.07708769053583225,0.0,0.0,4
7,10003,NEW CASTLE,cow_milk,1.7839999999999998,True,0.5,1.0,0.28026905829596416,515.0,318210.57958963583,0.2534765756920901,0.3142333478580952,80658.92806337618,25345.724999999966,,144918.97780008469,25345.724999999966,170264.70280008466,0.06726457399103139,0.0,0.26905829596412556,0.5807174887892376,0.08295964125560538,0.0,5425.488434756246,0.0,21701.953739024982,46840.050153395576,6691.43573619937,0.0,0.98,166859.40874408296,0.9,3064.7646504015315,340.52940560016987,0.98,163522.2205692013,0.9,3003.469357393487,333.7188174881653,64617.8329708044,276670.4502008977,98904.38759839692,375574.8377992946,0.68,255390.88970352037,120183.94809577425,255390.88970352037,3064.7646504015315,3003.469357393487,86727.1620711712,61381.43707117124,0.35,21483.502974909934,39897.934096261306,0.2464784800568289,0.0,0.0,4
8,10003,NEW CASTLE,layer,2.64,True,1.78,1.82,0.37046287046287046,109931.71097935812,318210.57958963583,0.2596305989137789,0.3103676045822238,82617.20335955785,25641.70350398842,,57875.79210445888,25641.70350398842,83517.4956084473,0.2727272727272727,0.0,0.7272727272727273,0.0,0.0,0.0,22531.964552606685,0.0,60085.238806951165,0.0,0.0,0.0,0.95,79341.62082802493,0.9,3758.2873023801308,417.58747804223685,0.84,66646.96149554093,0.9,11425.193399235593,1269.4659332483989,30493.04940576437,59661.01252024572,36153.91208977656,95814.92461002228,0.98,93898.62611782183,1916.2984922004543,93898.62611782183,3758.2873023801308,11425.193399235593,97800.68406117358,72158.98055718516,0.35,25255.643195014803,46903.33736217036,0.28975593760639684,0.0,0.0,4
9,10003,NEW CASTLE,pig,2.36,True,2.0,3.2,0.2648305084745763,145.0,318210.57958963583,0.0155542122118641,0.0858670011196357,4949.514882997467,424.99999999999704,,8732.221035897504,424.99999999999704,9157.2210358975,0.2033898305084746,0.3898305084745763,0.4067796610169492,0.0,0.0,0.0,1006.6809931520272,1929.4719035413855,2013.3619863040544,0.0,0.0,0.0,0.75,6867.915776923126,0.9,2060.3747330769374,228.9305258974373,0.9,6181.124199230813,0.9,618.1124199230816,68.67915776923121,,123702.04334481881,6181.124199230813,129883.16754404962,0.84,109101.86073700167,20781.30680704795,109101.86073700167,2060.3747330769374,618.1124199230816,7628.002035997486,7203.002035997489,0.35,2521.0507125991207,4681.951323398368,0.028923809516228197,0.0,0.0,4
